ira,irb,irc,ird,ci,ai,col,edge,mean,std,label,name
0.017560547,3.5359738,2.4911742,190.74118,0.43854234,0.1223291,3,0.037511457,97.77486,23.536211,0,ISIC_0024306.jpg
0.025184952,4.9875636,2.7962294,160.48163,0.22394302,0.24382211,1,0.07486915,127.01833,13.976082,0,ISIC_0024307.jpg
0.013661115,3.0904906,3.4146159,329.70572,0.473869,0.086902805,3,0.06667028,92.38999,22.156944,0,ISIC_0024308.jpg
0.016667733,3.8286493,1.2371705,108.64365,0.44265383,0.21271452,2,0.027444538,105.442245,14.380997,0,ISIC_0024309.jpg
0.015177419,3.3910875,2.4496179,213.08969,0.48055658,0.1125125,2,0.037297018,128.21053,15.006118,0,ISIC_0024311.jpg
0.038360633,3.4972584,2.1395805,77.07338,0.46130273,0.0955362,2,0.035254683,115.13097,29.103634,0,ISIC_0024314.jpg
0.013297977,4.0229254,1.789319,174.93777,0.41337448,0.047261022,1,0.018059822,120.84305,10.334763,0,ISIC_0024316.jpg
0.013233139,3.9170887,0.8801261,85.87247,0.51794827,0.05336293,2,0.006899432,98.24036,23.349077,0,ISIC_0024317.jpg
0.016185753,3.4892948,1.0898052,87.95465,0.60207456,0.06765874,3,0.011193256,76.842995,20.172506,0,ISIC_0024319.jpg
0.01837838,4.6371017,2.863294,197.3482,0.28523684,0.101115055,3,0.057704926,85.82987,14.158836,0,ISIC_0024320.jpg
0.024665514,5.236384,0.2996451,17.04721,0.30891904,0.14619866,1,0.020389743,131.1704,9.230667,0,ISIC_0024321.jpg
0.022504866,3.3925679,2.8657858,167.30377,0.4504886,0.08522144,1,0.046607908,122.48053,13.458567,0,ISIC_0024322.jpg
0.01677344,3.627381,3.4489017,266.4737,0.37776077,0.079860695,2,0.056415025,112.27419,15.355124,0,ISIC_0024325.jpg
0.0234382,3.3255224,0.6068905,33.337418,0.74635595,0.03628926,3,0.00467671,79.74348,18.287731,0,ISIC_0024326.jpg
0.014816351,3.769065,1.1873332,105.17319,0.51255137,0.07853955,3,0.012975148,101.23959,15.051,0,ISIC_0024327.jpg
0.017017458,4.7838397,2.9344175,227.8436,0.25757602,0.14196485,2,0.06305919,134.8842,16.74111,0,ISIC_0024328.jpg
0.013360728,3.0188823,2.627931,254.75256,0.5691498,0.0604244,2,0.047401827,105.67771,16.011576,0,ISIC_0024334.jpg
0.029705293,2.9023964,1.7527585,76.38578,0.71844864,0.07058524,3,0.026635261,89.563484,23.056284,0,ISIC_0024335.jpg
0.021998897,2.9014568,2.3228142,135.3587,0.6466904,0.044032443,3,0.037074428,80.85087,25.024202,0,ISIC_0024339.jpg
0.01859254,4.0105615,1.0321361,76.2001,0.4526739,0.13274047,2,0.018514384,123.09592,14.111041,0,ISIC_0024340.jpg
0.016680663,3.018478,2.7347302,212.7498,0.5576283,0.07058853,3,0.048537977,94.97181,16.471918,0,ISIC_0024341.jpg
0.024219505,6.527404,0.62576914,34.36734,0.20233667,0.15502445,2,0.015571142,134.92253,12.327906,0,ISIC_0024342.jpg
0.014868904,4.166742,1.045593,97.007416,0.41943124,0.1298216,2,0.014684708,116.094444,16.994762,0,ISIC_0024343.jpg
0.023325285,3.6210096,2.6854646,170.582,0.37141022,0.18305704,1,0.167621,141.12242,15.584174,0,ISIC_0024346.jpg
0.015751127,3.2243867,0.88185513,71.99927,0.73803467,0.04471965,3,0.007990822,65.10252,25.094881,0,ISIC_0024347.jpg
0.019306526,4.0200644,2.8565123,193.22519,0.3480758,0.0900253,1,0.043259997,119.4933,7.489524,0,ISIC_0024348.jpg
0.012878767,4.26757,0.6772514,68.10623,0.4597993,0.077904865,3,0.007906277,74.84579,20.117777,0,ISIC_0024349.jpg
0.020032175,3.138805,1.5740612,101.228424,0.6594054,0.046505176,1,0.020107184,118.00784,16.222477,0,ISIC_0024350.jpg
0.027427886,3.4489105,1.1960402,56.710144,0.6031711,0.076530054,3,0.013429157,61.866096,23.731977,0,ISIC_0024352.jpg
0.018846722,2.8603199,3.0377402,206.54565,0.5812806,0.055325173,3,0.056590885,96.431725,20.931768,0,ISIC_0024353.jpg
0.016285207,4.1319604,2.163235,172.07721,0.37293452,0.116895005,0,0.029934531,172.71526,6.0949345,0,ISIC_0024354.jpg
0.022994505,3.012624,2.9505513,171.06824,0.5246843,0.103257105,3,0.05541582,77.58972,30.207857,0,ISIC_0024355.jpg
0.02494154,4.5613904,1.8587557,105.00424,0.30455163,0.17367476,1,0.041020345,140.61357,15.168973,0,ISIC_0024356.jpg
0.023925578,6.3569746,1.3014992,76.56711,0.18338229,0.20431402,1,0.042402383,148.46683,11.800094,0,ISIC_0024357.jpg
0.019177279,4.8370957,1.8413236,130.35565,0.2865272,0.14701459,3,0.033295844,79.773544,18.018093,0,ISIC_0024359.jpg
0.018114302,4.377251,2.7451706,235.8652,0.25897962,0.22101139,3,0.059553057,89.782326,25.706694,0,ISIC_0024361.jpg
0.015891861,3.835742,2.4851549,201.26138,0.402718,0.06414856,3,0.031483103,94.12667,15.204063,0,ISIC_0024362.jpg
0.021716064,3.3054228,0.81350434,48.431046,0.71392846,0.04443722,2,0.007175051,100.97562,24.702875,0,ISIC_0024363.jpg
0.021759626,3.1241648,2.0077705,120.18439,0.6017421,0.067897834,3,0.031070407,100.19121,15.671658,0,ISIC_0024364.jpg
0.015027689,4.746261,2.1654859,194.87878,0.2832501,0.117227755,2,0.025836458,107.71359,11.115354,0,ISIC_0024365.jpg
0.018690662,2.8162897,2.2735758,158.10089,0.6744934,0.05857979,2,0.038810886,113.100784,25.825241,0,ISIC_0024366.jpg
0.013513275,3.9939432,0.6548477,62.734863,0.522805,0.05846569,3,0.006260514,95.26333,16.076838,0,ISIC_0024368.jpg
0.021928748,5.021985,0.8795895,57.823334,0.29412413,0.21140361,2,0.04099957,112.49248,17.043163,0,ISIC_0024369.jpg
0.02425719,2.9473941,3.451061,189.5119,0.50023395,0.116239436,2,0.070868835,116.62297,16.86052,0,ISIC_0024373.jpg
0.017284807,4.0359874,2.5896475,194.1817,0.36257794,0.10723982,1,0.03892291,135.77527,12.413593,0,ISIC_0024374.jpg
0.025380665,3.5880873,2.1150706,112.34059,0.4555307,0.12483186,1,0.04416957,119.32928,11.691702,0,ISIC_0024376.jpg
0.025282258,3.5408804,0.38469043,20.52716,0.67013675,0.08738835,2,0.010917869,105.31114,25.5907,0,ISIC_0024377.jpg
0.024190083,3.357208,1.2161233,65.453766,0.6286452,0.07421342,3,0.015168472,84.915855,23.449636,0,ISIC_0024378.jpg
0.018812349,3.5367317,1.6150756,112.31328,0.5271909,0.079869464,0,0.020982768,178.70557,16.648758,0,ISIC_0024379.jpg
0.021585492,3.5169475,1.3722494,83.680115,0.55520874,0.09248386,1,0.021218767,141.69656,16.959358,0,ISIC_0024380.jpg
0.023290958,3.4470508,1.2623448,70.69974,0.59343183,0.07583994,3,0.015801117,109.44742,14.832649,0,ISIC_0024384.jpg
0.026072586,3.4693556,0.8867986,45.17044,0.62610245,0.08819097,1,0.010645224,144.90314,16.603685,0,ISIC_0024385.jpg
0.04476329,3.6524851,0.15548153,4.8058624,0.6530023,0.1554811,3,0.013228316,67.727356,19.992702,0,ISIC_0024387.jpg
0.022703396,7.6426578,1.2839608,87.38147,0.1192123,0.24737321,1,0.09963506,134.82515,7.6961184,0,ISIC_0024388.jpg
0.030651482,3.2532022,0.79225045,33.5719,0.7351362,0.064701974,2,0.008325067,98.384125,23.378365,0,ISIC_0024389.jpg
0.013731358,4.037301,1.1462257,109.47882,0.45784763,0.08833706,3,0.013276703,107.665794,14.91652,0,ISIC_0024390.jpg
0.030918842,6.3815064,2.703546,132.36917,0.1431805,0.2714044,3,0.06915382,135.2639,11.969026,0,ISIC_0024391.jpg
0.013132305,3.2489734,1.4454854,143.34393,0.63266325,0.079027675,3,0.020186596,91.180534,20.787098,0,ISIC_0024392.jpg
0.025125662,2.7848659,2.4171069,123.625595,0.6750073,0.046940945,3,0.043978356,68.5085,24.440443,0,ISIC_0024393.jpg
